names,importances,experiment_id,CO_MES,var_target
"('02~mes', '091_15~geo', '3808~prdt', 'sm12')",0.01986441381231447,1293514a-6234-4744-9a00-27ad0316735e,02~mes,kt
"('12~mes', '-21:-45', 'mm')",0.012856012097702676,1293514a-6234-4744-9a00-27ad0316735e,02~mes,oc
"('03~mes', '091_10~geo', '2304~prdt', 'kt')",0.015153296264006817,2d176c63-0944-4a1f-9b6c-07aeda62271f,03~mes,kt
"('07~mes', '-23:-47', 'mm')",0.009420196571899358,2d176c63-0944-4a1f-9b6c-07aeda62271f,03~mes,oc
"('04~mes', '091_12~geo', '2710~prdt', 'sm12')",0.01695328332985349,c0a996de-1308-4fa0-93e5-4fbedf4a963c,04~mes,kt
"('02~mes', '-30:-54', 'mm')",0.013073593073593072,c0a996de-1308-4fa0-93e5-4fbedf4a963c,04~mes,oc
"('11~mes', '-4:-48', 'mm')",0.015482115814444142,6b961c8d-aaf9-4d90-9618-68f3867267d2,05~mes,kt
"('09~mes', '-17:-49', 'mm')",0.0290324658422048,6b961c8d-aaf9-4d90-9618-68f3867267d2,05~mes,oc
"('06~mes', '092_14~geo', '4703~prdt', 'sm3')",0.01914981021263341,081e7044-b2fd-4472-b0bc-c682252bd274,06~mes,kt
"('12~mes', '-21:-47', 'mm')",0.032693093420865384,081e7044-b2fd-4472-b0bc-c682252bd274,06~mes,oc
"('07~mes', '081_15~geo', '3105~prdt', 'sm3')",0.018292428093494795,e67ecf19-9076-41e1-aa3b-9b7ce40ed8e5,07~mes,kt
"('09~mes', '-13:-39', 'mm')",0.02105872869549097,e67ecf19-9076-41e1-aa3b-9b7ce40ed8e5,07~mes,oc
"('08~mes', '091_14~geo', '2510~prdt', 'kt')",0.027414052307471088,eca56291-b774-401e-8255-9447251f2b1e,08~mes,kt
"('02~mes', '-21:-43', 'mm')",0.02040816326530612,eca56291-b774-401e-8255-9447251f2b1e,08~mes,oc
"('07~mes', '-20:-46', 'mm')",0.017498402940630528,b1213840-6197-4119-b8a5-fb49882039d6,09~mes,kt
"('02~mes', '-16:-48', 'mm')",0.04,b1213840-6197-4119-b8a5-fb49882039d6,09~mes,oc
"('10~mes', '092_14~geo', '4703~prdt', 'sm12_diff')",0.026750012693895125,5c653ab8-4fda-4f75-bbef-ecd75502b781,10~mes,kt
"('02~mes', '-16:-48', 'mm')",0.03,5c653ab8-4fda-4f75-bbef-ecd75502b781,10~mes,oc
"('11~mes', '072_8~geo', '9011~prdt', 'sm12')",0.02085286669345736,ba1068d8-a1e1-44d3-a9df-6c6ee3580603,11~mes,kt
"('01~mes', '-20:-42', 'mm')",0.04411764705882354,ba1068d8-a1e1-44d3-a9df-6c6ee3580603,11~mes,oc
"('02~mes', '-21:-43', 'mm')",0.03,327ae11d-c86c-4447-b217-745a5dff7a67,12~mes,kt
"('10~mes', '-32:-52', 'mm')",0.013320118157610443,327ae11d-c86c-4447-b217-745a5dff7a67,12~mes,oc
"('12~mes', '-24:-46', 'mm')",0.019540057997486423,c0182921-c6f3-46e3-a8e4-327fa354e5a1,01~mes,kt
"('02~mes', '-14:-52', 'mm')",0.01020408163265306,c0182921-c6f3-46e3-a8e4-327fa354e5a1,01~mes,oc
